id      ,rooms ,area ,rent   ,street                        ,zip_code ,latitude          ,longitude
5234356 ,    2 ,  48 , 10200 ,Gadelandet                    ,    2700 ,55.7104602        ,12.4844416
5195469 ,    1 ,  37 ,  7800 ,Nordens Plads                 ,    2000 ,55.67107499999998 ,12.501987
5231199 ,    4 , 106 , 14300 ,Edvard Thomsens Vej           ,    2300 ,55.6318523        ,12.5749016
5230528 ,    1 ,  20 ,  6000 ,Stenderupgade                 ,    1738 ,55.6649236        ,12.5434424
4883005 ,    3 , 111 , 17000 ,Kronprinsessegade             ,    1306 ,55.683567         ,12.5817716
5074404 ,    3 ,  86 , 12807 ,Hannemanns Allé               ,    2300 ,55.626185         ,12.5762249
5086675 ,    2 ,  56 , 10475 ,Ørestads Boulevard            ,    2300 ,55.636709         ,12.582897
5206281 ,    1 ,  37 ,  7895 ,Nordre Fasanvej               ,    2000 ,55.6953574        ,12.5347536
5224860 ,    3 ,  70 , 13250 ,Else Afelts Vej               ,    2300 ,55.619128         ,12.5686257
5231641 ,    1 ,   8 ,  4500 ,Ruten                         ,    2700 ,55.7188995        ,12.4928323
5230529 ,    2 ,  55 , 14000 ,Bjelkes Allé                  ,    2200 ,55.6920256        ,12.5457104
5024241 ,    4 , 105 , 14800 ,Ørestads Boulevard            ,    2300 ,55.6361249        ,12.5812123
5092270 ,    4 , 102 , 14000 ,Gadeladet                     ,    2700 ,55.7071732        ,12.4915226
5112248 ,    3 ,  79 , 13118 ,Jernæblevej                   ,    2500 ,55.66084129999999 ,12.5030899
5022489 ,    1 ,  15 ,  7000 ,Grøndalsvej                   ,    2000 ,55.6883852        ,12.5088881
5087576 ,    4 , 147 , 18606 ,Frederiksborggade             ,    1360 ,55.683053         ,12.5727149
4960416 ,    1 ,  24 ,  5999 ,Carl Th. Dreyers Vej          ,    2500 ,55.66880030000001 ,12.4997413
5238465 ,    1 ,  44 ,  9000 ,Søndre Fasanvej               ,    2500 ,55.6678805        ,12.5169621
5179622 ,    1 ,  49 ,  8950 ,Nordens Plads                 ,    2000 ,55.6710648        ,12.5013937
