id,rooms,area,rent,norm_rent,latitude,longitude
5179192,5.0,134.0,18000,134.33,55.619128,12.568626
5216766,1.0,37.0,5633,152.24,55.707792,12.485342
5274099,2.0,67.0,13800,205.97,55.667523,12.627036
5266725,1.0,48.0,8000,166.67,55.655898,12.503485
5247677,2.0,53.0,11311,213.42,55.636709,12.582897
5074404,3.0,86.0,12807,148.92,55.626185,12.576225
5247646,3.0,91.0,12395,136.21,55.651821,12.554816
5121297,2.0,86.0,15999,186.03,55.67783,12.573206
5184522,3.0,99.0,15700,158.59,55.665227,12.624279
5251674,3.0,91.0,11317,124.36,55.678938,12.450205
5247645,3.0,79.0,12700,160.76,55.652367,12.55653
5079087,4.0,136.0,17500,128.68,55.651292,12.542151
5273996,2.0,52.0,10100,194.23,55.71046,12.484442
4739392,2.0,56.0,11500,205.36,55.665367,12.598933
5262457,3.0,98.0,15400,157.14,55.663616,12.624077
5273104,2.0,53.0,11900,224.53,55.66553,12.62733
5242877,4.0,110.0,15900,144.55,55.653056,12.543546
5263183,1.0,50.0,8350,167.0,55.678873,12.530872
5239432,2.0,60.0,11700,195.0,55.634942,12.579119
5149924,3.0,102.0,14995,147.01,55.665165,12.510616
4900278,3.0,65.0,12799,196.91,55.663095,12.593584
5023175,3.0,121.0,15106,124.84,55.68412,12.615212
5263958,2.0,116.0,16000,137.93,55.707202,12.526368
5193032,1.0,37.0,8584,232.0,55.679425,12.551437
4974060,3.0,73.0,9200,126.03,55.723913,12.507285
4856694,3.0,90.0,13466,149.62,55.726121,12.478513
5249777,1.0,21.0,5000,238.1,55.665835,12.509698
5273091,2.0,60.0,11900,198.33,55.637755,12.580868
5130194,3.0,82.0,12400,151.22,55.640331,12.582975
5271983,2.0,53.0,12100,228.3,55.622082,12.573736
5248129,3.0,81.0,13012,160.64,55.660841,12.50309
5270948,2.0,66.0,11100,168.18,55.640331,12.582975
4956329,2.0,74.0,14500,195.95,55.680218,12.590206
5085935,4.0,126.0,20300,161.11,55.698585,12.585769
5249262,2.0,88.0,12480,141.82,55.66739,12.62021
5181932,3.0,84.0,13900,165.48,55.703795,12.503554
5092270,4.0,102.0,14000,137.25,55.707173,12.491523
4856705,4.0,105.0,17495,166.62,55.678128,12.573445
5247694,3.0,89.0,13865,155.79,55.663095,12.593584
5262866,2.0,71.0,14995,211.2,55.693037,12.55199
5112302,4.0,119.0,20000,168.07,55.732739,12.561723
5249727,1.0,7.0,3500,500.0,55.69289,12.547805
5249704,1.0,56.0,11900,212.5,55.686667,12.528529
5273121,2.0,32.0,10750,335.94,55.681189,12.518624
5262426,1.0,45.0,7400,164.44,55.649554,12.551497
5017590,1.0,28.0,8300,296.43,55.663553,12.591
5274027,3.0,89.0,15500,174.16,55.666197,12.621256
5274032,3.0,94.0,15400,163.83,55.666493,12.624566
4857750,4.0,151.0,29500,195.36,55.685175,12.565269
5248022,1.0,49.0,8400,171.43,55.703754,12.537448
5262428,1.0,34.0,6300,185.29,55.649554,12.551497
5054948,1.0,43.0,7640,177.67,55.701219,12.535712
5224886,2.0,110.0,19800,180.0,55.679212,12.569246
5107678,4.0,114.0,15900,139.47,55.645625,12.548263
5253495,5.0,130.0,17900,137.69,55.654547,12.612201
5262441,3.0,80.0,13000,162.5,55.657994,12.511751
