id,rooms,area,rent,norm_rent,latitude,longitude
5216766,1,37,5633,152.24,55.707792,12.485342
5274099,2,67,13800,205.97,55.667523,12.627036
5266725,1,48,8000,166.67,55.655898,12.503485
5247677,2,53,11311,213.42,55.636709,12.582897
5074404,3,86,12807,148.92,55.626185,12.576225
5247646,3,91,12395,136.21,55.651821,12.554816
5121297,2,86,15999,186.03,55.67783,12.573206
5184522,3,99,15700,158.59,55.665227,12.624279
5251674,3,91,11317,124.36,55.678938,12.450205
5247645,3,79,12700,160.76,55.652367,12.55653
5079087,4,136,17500,128.68,55.651292,12.542151
5273996,2,52,10100,194.23,55.71046,12.484442
4739392,2,56,11500,205.36,55.665367,12.598933
5262457,3,98,15400,157.14,55.663616,12.624077
5273104,2,53,11900,224.53,55.66553,12.62733
5242877,4,110,15900,144.55,55.653056,12.543546
5263183,1,50,8350,167.0,55.678873,12.530872
5239432,2,60,11700,195.0,55.634942,12.579119
5149924,3,102,14995,147.01,55.665165,12.510616
4900278,3,65,12799,196.91,55.663095,12.593584
5023175,3,121,15106,124.84,55.68412,12.615212
5263958,2,116,16000,137.93,55.707202,12.526368
5193032,1,37,8584,232.0,55.679425,12.551437
4974060,3,73,9200,126.03,55.723913,12.507285
4856694,3,90,13466,149.62,55.726121,12.478513
5249777,1,21,5000,238.1,55.665835,12.509698
5273091,2,60,11900,198.33,55.637755,12.580868
5130194,3,82,12400,151.22,55.640331,12.582975
5271983,2,53,12100,228.3,55.622082,12.573736
5248129,3,81,13012,160.64,55.660841,12.50309
5270948,2,66,11100,168.18,55.640331,12.582975
4956329,2,74,14500,195.95,55.680218,12.590206
5085935,4,126,20300,161.11,55.698585,12.585769
5249262,2,88,12480,141.82,55.66739,12.62021
5181932,3,84,13900,165.48,55.703795,12.503554
5092270,4,102,14000,137.25,55.707173,12.491523
4856705,4,105,17495,166.62,55.678128,12.573445
5247694,3,89,13865,155.79,55.663095,12.593584
5262866,2,71,14995,211.2,55.693037,12.55199
5112302,4,119,20000,168.07,55.732739,12.561723
5249727,1,7,3500,500.0,55.69289,12.547805
5249704,1,56,11900,212.5,55.686667,12.528529
5273121,2,32,10750,335.94,55.681189,12.518624
5262426,1,45,7400,164.44,55.649554,12.551497
5017590,1,28,8300,296.43,55.663553,12.591
5274027,3,89,15500,174.16,55.666197,12.621256
5274032,3,94,15400,163.83,55.666493,12.624566
4857750,4,151,29500,195.36,55.685175,12.565269
5248022,1,49,8400,171.43,55.703754,12.537448
5262428,1,34,6300,185.29,55.649554,12.551497
5054948,1,43,7640,177.67,55.701219,12.535712
5224886,2,110,19800,180.0,55.679212,12.569246
5107678,4,114,15900,139.47,55.645625,12.548263
5253495,5,130,17900,137.69,55.654547,12.612201
5262441,3,80,13000,162.5,55.657994,12.511751
5266714,1,39,5937,152.23,55.707792,12.485342
5245187,1,180,19800,110.0,55.680659,12.571175
4956083,2,63,11050,175.4,55.617418,12.566349
5258841,3,69,12800,185.51,55.62027,12.573462
5185814,1,35,7904,225.83,55.679425,12.551437
5185816,1,43,7939,184.63,55.701219,12.535712
5205808,1,41,9000,219.51,55.705378,12.543452
5249770,1,45,9500,211.11,55.671264,12.514637
5242875,4,110,16300,148.18,55.653056,12.543546
5179340,3,65,13118,201.82,55.663095,12.593584
5117845,2,115,18820,163.65,55.661812,12.569668
5190072,2,79,13800,174.68,55.648375,12.553065
5241712,5,152,16052,105.61,55.606586,12.593683
5101208,3,134,19000,141.79,55.691701,12.524678
5270983,3,79,13332,168.76,55.656761,12.503792
5143981,4,86,15995,185.99,55.698748,12.53532
5150806,4,130,14500,111.54,55.738439,12.507797
5266787,3,86,12800,148.84,55.626185,12.576225
4992910,1,14,7000,500.0,55.6371,12.575012
