id, rooms, area, rent, street, zip_code, latitude, longitude
5144890,4,108,18000,Nygade,1164,55.678251,12.5736504
5249744,1,50,9500,Azaleavej,2000,55.6711263,12.5171446
5248133,1,43,6629,Følager,2500,55.6524055,12.5122003
5216766,1,37,5633,Frederikssundsvej,2700,55.7077918,12.4853417
5211292,2,62,12400,A.C. Meyers Vænge,2450,55.6519343,12.5424145
5249765,3,69,11900,Amager Landevej,2770,55.6375574,12.6189139
5113676,1,8,4500,Jægersborggade,2200,55.6923143,12.5442103
4921301,1,20,6000,Sorgenfrigade,2200,55.6955019,12.5453297
5258838,2,71,11525,Irmavej,2610,55.6770177,12.4355482
5242649,1,40,9600,Øresundsvej,2300,55.6606262,12.6136963
5216958,1,40,8100,Lærkevej,2400,55.7017902,12.5305111
5200807,1,12,5500,Brumleby,2100,55.70162209999999,12.5756847
5166742,3,105,15000,George Marshalls Vej,2450,55.65878,12.5626532
5254791,3,87,13760,Bygmestervej,2400,55.7062046,12.5349399
5054949,1,35,8618,Svend Trøsts Vej,1912,55.67942499999998,12.5514368
5248168,4,122,23000,Snorrebakken,2770,55.6368108,12.6060931
4920071,4,177,26560,Nytorv,1164,55.6777785,12.5734097
5064407,3,108,14883,Peter Bangs Vej,2000,55.678166,12.493615
5217944,3,92,14700,Artillerivej,2300,55.654295,12.5682112
5212091,2,56,10500,Roskildevej,2000,55.67151939999999,12.5221006
5195469,1,37,7800,Nordens Plads,2000,55.67107499999998,12.501987
5259580,2,33,10400,Finsensvej,2000,55.6810725,12.5214046
4944336,7,291,25500,H.C. Andersens Boulevard,1553,55.6720313,12.5761123
5217951,2,63,11750,Doris Lessings Vej,2300,55.63563660000002,12.5760295
5212091,2,56,10500,Roskildevej,2000,55.67151939999999,12.5221006
5242992,2,67,13000,Strandlodsvej,2300,55.66315549999998,12.6238577
5086675,2,56,10475,Ørestads Boulevard,2300,55.636709,12.582897
5121297,2,86,15999,Nytorv,1450,55.6778296,12.5732055
5249778,1,16,3600,Prinsessegade,1422,55.6734269,12.5960418
5209661,2,90,15900,Ehlersvej,2900,55.7277955,12.5731408
4856797,6,231,31762,Nørre Voldgade,1358,55.684228,12.5725079
5241712,5,152,16052,Hyld Ager,2770,55.6065862,12.5936831
5242649,1,40,9600,Øresundsvej,2300,55.6606262,12.6136963
5105724,5,127,16650,Islev Have,2610,55.70582719999999,12.4338754
4883005,3,111,17000,Kronprinsessegade,1306,55.683567,12.5817716
5249724,1,9,3000,ja,2000,55.681845,12.5179439
5179192,5,134,18000,Else Alfelts Vej,2300,55.619128,12.5686257
5248022,1,49,8400,Rebslagervej,2400,55.7037537,12.5374483
5184522,3,99,15700,Strandslodsvej,2300,55.6652272,12.6242794
5247645,3,79,12700,Cylindervej,2450,55.65236669999999,12.5565302
5074404,3,86,12807,Hannemanns Allé,2300,55.626185,12.5762249
5260010,1,29,7400,Vanløse Allé,2720,55.6884627,12.4943031
5241712,5,152,16052,Hyld Ager,2770,55.6065862,12.5936831
5243687,1,48,8000,Elstarvej,2500,55.6558982,12.5034846
5248806,4,164,21520,Østerbrogade,2100,55.699561,12.577984
5024241,4,105,14800,Ørestads Boulevard,2300,55.6361249,12.5812123
4960416,1,24,5999,Carl Th. Dreyers Vej,2500,55.66880030000001,12.4997413
5022489,1,15,7000,Grøndalsvej,2000,55.6883852,12.5088881
5023175,3,121,15106,Margretheholmsvej,1432,55.6841196,12.6152124
5239432,2,60,11700,Emma Gads Vej,2300,55.6349421,12.579119
5087576,4,147,18606,Frederiksborggade,1360,55.683053,12.5727149
5112248,3,79,13118,Jernæblevej,2500,55.66084129999999,12.5030899
5242797,2,80,11800,Edvard Thomsens Vej,2300,55.6324216,12.5762446
5092270,4,102,14000,Gadeladet,2700,55.7071732,12.4915226
5248622,2,43,9500,Poppelstykket,2450,55.6515557,12.5119233
5254796,1,16,5500,Gladsaxe Møllevej,2860,55.7404134,12.4731512
