Sagsnr,available_from,rooms,area,rent,per_area_price,address,zip_code,latitude,longitude
1770008247177009,2022-04-20,1,25.0,7900,948.0,"Finsensvej 15, 5. 514, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008254177009,2023-03-16,1,38.0,11900,939.0,"Finsensvej 15, 5. 516, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008256177009,2022-04-26,1,30.0,8600,860.0,"Finsensvej 15, 5. 517, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008257177009,2022-05-31,2,30.0,10900,1090.0,"Finsensvej 15, 5. 518, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008232177009,2022-06-02,1,24.0,7950,994.0,"Finsensvej 15, 5. 519, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008258177009,2023-03-16,1,26.0,8650,998.0,"Finsensvej 15, 5. 525, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008260177009,2023-03-16,1,26.0,8650,998.0,"Finsensvej 15, 5. 526, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008371177009,2022-04-21,1,32.0,7400,694.0,"Gl. Køge Landevej 40, 3. 334, 2500 Valby",2500,55.65571596,12.51155621
1770008200177009,2022-04-29,2,58.0,11900,616.0,"Emma Gads Vej 1, 5. th, 2300 København S",2300,55.63563482,12.57837225
1770008086177009,2022-06-20,1,33.0,8450,512.0,"Dybbølsbro 3, 12. 9, 1577 København V",1577,55.66364863,12.56008874
1770008093177009,2022-05-19,1,33.0,8450,512.0,"Dybbølsbro 3, 11. 9, 1577 København V",1577,55.66362296,12.56013426
1770008117177009,2022-05-19,1,33.0,8450,512.0,"Dybbølsbro 3, 15. 2, 1577 København V",1577,55.66363152,12.56012288
1770007930177009,2022-09-08,1,33.0,8550,518.0,"Dybbølsbro 3, 7. 2, 1577 København V",1577,55.66371613,12.56013928
1770007948177009,2022-04-12,1,33.0,8550,536.0,"Dybbølsbro 3, 15. 9, 1577 København V",1577,55.65571596,12.51155621
