rooms ,area ,rent  ,street                        ,zip_code ,latitude          ,longitude
    4 , 177 ,26560 ,Nytorv                        ,    1164 ,55.6777785        ,12.5734097
    2 ,  85 ,11500 ,Hultmannsvej                  ,    2900 ,55.7437337        ,12.5727699
    1 ,  32 , 7334 ,Theklavej                     ,    2400 ,55.70550189999999 ,12.5271191
    3 ,  65 ,12799 ,Njalsgade                     ,    2300 ,55.6630951        ,12.5935843
    4 , 102 ,14000 ,Gadeladet                     ,    2700 ,55.7071732        ,12.4915226
    1 ,   8 , 4500 ,Jægersborggade                ,    2200 ,55.6923143        ,12.5442103
    1 ,  32 , 7450 ,Lindgreens Allé               ,    2300 ,55.66751499999999 ,12.621765
    3 , 110 ,16500 ,Kastelsvej                    ,    2100 ,55.69611620000001 ,12.5847604
    7 , 291 ,25500 ,H.C. Andersens Boulevard      ,    1553 ,55.6720313        ,12.5761123
    1 ,  20 , 6000 ,Sorgenfrigade                 ,    2200 ,55.6955019        ,12.5453297
    3 ,  86 ,12807 ,Hannemanns Allé               ,    2300 ,55.626185         ,12.5762249
    6 , 231 ,31762 ,Nørre Voldgade                ,    1358 ,55.684228         ,12.5725079
    2 ,  62 ,12097 ,Jane Addams Vej               ,    2450 ,55.6582265        ,12.5605041
    1 ,  37 , 8584 ,Svend Trøsts Vej              ,    1912 ,55.67942499999998 ,12.5514368
    3 ,  79 ,13118 ,Jernæblevej                   ,    2500 ,55.66084129999999 ,12.5030899
    3 , 105 ,15000 ,George Marshalls Vej          ,    2450 ,55.65878          ,12.5626532
    4 , 105 ,14800 ,Ørestads Boulevard            ,    2300 ,55.6361249        ,12.5812123
    3 , 108 ,14883 ,Peter Bangs Vej               ,    2000 ,55.678166         ,12.493615
    2 ,  38 ,10600 ,Amerikavej                    ,    1756 ,55.6689619        ,12.5419543
    4 , 103 ,19995 ,Sjællandsgade                 ,    2200 ,55.6930367        ,12.5519897
    3 ,  90 ,15900 ,Schleppegrellsgade            ,    2200 ,55.68987600000002 ,12.5643718
    1 ,  38 , 8607 ,Hans Knudsens Plads           ,    2100 ,55.713941         ,12.5599257
    1 ,  23 , 7000 ,C.F. Richs Vej                ,    2000 ,55.68671          ,12.5039269
    4 , 147 ,18606 ,Frederiksborggade             ,    1360 ,55.683053         ,12.5727149
    7 , 214 ,33438 ,Amaliegade                    ,    1256 ,55.6875904        ,12.5959552
    1 ,  36 , 7000 ,Elstarvej                     ,    2500 ,55.6558982        ,12.5034846
    4 , 126 ,20300 ,Willemoesgade                 ,    2100 ,55.6985847        ,12.5857688
    1 ,  43 , 7640 ,Frederikssundsvej             ,    2400 ,55.7012191        ,12.5357119
    3 ,  93 ,15500 ,Margretheholmsvej             ,    1432 ,55.6856974        ,12.6156874
    3 , 102 ,14995 ,Fajancegade                   ,    2500 ,55.6651654        ,12.5106155
    3 , 111 ,17000 ,Kronprinsessegade             ,    1306 ,55.683567         ,12.5817716
    1 ,  49 , 8950 ,Domus Vista                   ,    2000 ,55.6710648        ,12.5013936
    2 ,  40 ,10800 ,Amerikavej                    ,    1756 ,55.6689619        ,12.5419543
    1 ,  54 ,10000 ,Nyborggade                    ,    2100 ,55.70974          ,12.5795408
    1 ,  15 , 7000 ,Grøndalsvej                   ,    2000 ,55.6883852        ,12.5088881
    1 , 180 ,19800 ,Nørregade                     ,    1165 ,55.6806586        ,12.5711746
    2 ,  63 ,10950 ,Børge Olsens Plads            ,    2610 ,55.67117589999999 ,12.4728844
    3 ,  65 ,13832 ,Njalsgade                     ,    2300 ,55.6630951        ,12.5935843
    3 ,  90 ,13466 ,Gyngemose Parkvej             ,    2860 ,55.7261207        ,12.478513
    4 , 119 ,20000 ,C V E Knuths Vej              ,    2900 ,55.73273889999999 ,12.5617231
    1 ,  37 , 7700 ,Lærkevej                      ,    2400 ,55.7017902        ,12.5305111
    2 ,  56 ,10475 ,Ørestads Boulevard            ,    2300 ,55.636709         ,12.582897
    1 ,  15 , 6750 ,Gammel Kongevej               ,    1850 ,55.67547250000002 ,12.5463479
    2 ,  79 ,13800 ,Alliancevej                   ,    2450 ,55.648375         ,12.5530654
    1 ,  24 , 5999 ,Carl Th. Dreyers Vej          ,    2500 ,55.66880030000001 ,12.4997413
    1 ,  32 , 6350 ,Gyngemose Parkvej             ,    2860 ,55.7272197        ,12.4792895
    3 ,  70 ,13250 ,Else Afelts Vej               ,    2300 ,55.619128         ,12.5686257
    1 ,  43 , 7939 ,Frederikssundsvej             ,    2400 ,55.7012191        ,12.5357119
    3 ,  73 , 9200 ,Grønnemose Alle               ,    2860 ,55.7239129        ,12.5072853
   10 , 501 ,90000 ,Søndermarksvej                ,    2500 ,55.665369         ,12.5251856
    2 ,  64 ,10350 ,Else Alfelts Vej              ,    2300 ,55.6174184        ,12.5663495
    1 ,  37 , 7800 ,Peder Lykkes Vej              ,    2300 ,55.65372190000001 ,12.6031793
    5 , 162 ,20235 ,Fiolstræde                    ,    1171 ,55.6816853        ,12.5722237
    1 ,  14 , 3900 ,ja                            ,    2200 ,55.6928897        ,12.547805
    4 , 107 ,17800 ,Islands Brygge                ,    2300 ,55.66006059999999 ,12.5688409
    4 , 105 ,14859 ,Elstarvej                     ,    2500 ,55.6571957        ,12.5004255
    2 ,  63 ,11050 ,Else Alfelts Vej              ,    2300 ,55.6174184        ,12.5663495
    3 ,  90 ,13950 ,Glostervej                    ,    2500 ,55.6538587        ,12.5037334
    1 ,  60 ,11700 ,Siljangade                    ,    2300 ,55.66874499999999 ,12.613605
    5 , 131 ,16400 ,Halldór Laxness Vej           ,    2300 ,55.6354026        ,12.5805186
    2 ,  56 ,11500 ,Michael Strunges Vej          ,    2300 ,55.6653673        ,12.5989328
    3 , 121 ,15106 ,Margretheholmsvej             ,    1432 ,55.6841196        ,12.6152124
    1 ,  38 , 6700 ,Preben Kaas' Vænge            ,    2000 ,55.68412619999999 ,12.502215
    2 ,  89 ,12815 ,Gyngemose Parkvej             ,    2860 ,55.725437         ,12.4786249
3,87,13760,Bygmestervej,2400,55.7062046,12.5349399
4,105,17495,Nygade,1164,55.6781275,12.5734453
2,88,12480,Strandlodsvej,2300,55.66739,12.6202099
3,134,19000,Drosselvej,2000,55.6917007,12.5246777
4,92,15362,Margretheholmsvej,1432,55.6837106,12.6153714
3,111,19700,Anker Heegaards Gade,1571,55.67184349999999,12.5727964
5,140,19500,A.C. Meyers Vænge,2450,55.6503446,12.5409203
4,100,13800,Hannemanns Allé,2300,55.626185,12.5762249
4,114,15900,Lone Kellermanns Vej,2450,55.6456252,12.5482628
3,79,11350,Gadelandet,2700,55.7115422,12.4809887
1,35,6650,Rabarbervej,2400,55.6961805,12.5240192
4,111,17200,Vestre Teglgade,2450,55.6531338,12.5481159
1,28,8300,Njalsgade,2300,55.6635534,12.5909995
1,32,6250,Gyngemose Parkvej,2860,55.7272197,12.4792895
2,90,13900,Axel Heides Gade,2300,55.659896,12.57005
2,74,14500,Nyhavn,1051,55.68021820000001,12.5902059
3,82,12400,Ørestad Boulevard,2300,55.6403311,12.5829753
1,29,6150,Gyngemose Parkvej,2860,55.7272847,12.4799332
1,35,8000,Katrinedalsvej,2720,55.688441,12.4914759
6,270,40365,Margrethevej,2900,55.734451,12.573912
1,56,7700,Elstarvej,2500,55.6558982,12.5034846
4,114,15800,Cylindervej,2450,55.6523094,12.5564647
5,114,16650,Gyldenrisvej,2300,55.640774,12.608928
3,124,18750,Kronprinsessegade,1308,55.6867364,12.5841335
1,14,7000,Doris Lessingsvej,2300,55.6371,12.5750122
3,98,16800,Strandvejen,2900,55.73071110000001,12.5764389
4,89,16000,Snorresgade,2300,55.6658784,12.5760455
3,105,15200,Axel Strøbyes Vej,2500,55.6597482,12.5117821
3,85,16950,Applebys Plads,1411,55.671032,12.585607
1,20,6000,Stenderupgade,1738,55.6649236,12.5434424
2,61,11721,Richard Mortensens Vej,2300,55.6218405,12.5721728
1,39,5937,Frederikssundsvej,2700,55.7077918,12.4853417
1,37,7800,Peder Lykkes Vej,2300,55.65372190000001,12.6031793
5,161,21627,Gammel Kongevej,1850,55.6750968,12.5482709
1,45,10000,Azaleavej,2000,55.6712639,12.5146373
3,65,12905,Njalsgade,2300,55.6630951,12.5935843
