,id,available_from,rooms,area,rent,per_area_price,address,zip_code,latitude,longitude,rent_norm
45,1770007772177009,2023-03-15,2.0,29.0,10750,1112.0,"Lindevangs Alle 14A, st. tv, 2000 Frederiksberg",2000,55.68076211,12.51831613,370.6896551724138
46,1770008206177009,2022-04-26,1.0,26.0,7650,883.0,"Finsensvej 15, 4. 408, 2000 Frederiksberg",2000,55.68076211,12.51831613,294.2307692307692
47,1770008207177009,2022-05-05,1.0,26.0,7650,883.0,"Finsensvej 15, 4. 409, 2000 Frederiksberg",2000,55.68076211,12.51831613,294.2307692307692
48,1770008208177009,2022-06-02,1.0,26.0,7650,883.0,"Finsensvej 15, 4. 410, 2000 Frederiksberg",2000,55.68076211,12.51831613,294.2307692307692
49,1770008209177009,2022-05-25,1.0,26.0,7650,883.0,"Finsensvej 15, 4. 411, 2000 Frederiksberg",2000,55.68076211,12.51831613,294.2307692307692
50,1770008210177009,2022-05-05,1.0,26.0,7650,883.0,"Finsensvej 15, 4. 412, 2000 Frederiksberg",2000,55.68076211,12.51831613,294.2307692307692
51,1770008055177009,2022-07-13,2.0,33.0,10800,982.0,"Finsensvej 15, 4. 414, 2000 Frederiksberg",2000,55.68076211,12.51831613,327.27272727272725
52,1770008233177009,2023-03-16,2.0,38.0,11800,932.0,"Finsensvej 15, 5. 501, 2000 Frederiksberg",2000,55.68076211,12.51831613,310.5263157894737
53,1770008236177009,2022-04-11,1.0,25.0,7900,948.0,"Finsensvej 15, 5. 502, 2000 Frederiksberg",2000,55.68076211,12.51831613,316.0
54,1770008240177009,2022-04-25,1.0,26.0,7950,917.0,"Finsensvej 15, 5. 504, 2000 Frederiksberg",2000,55.68076211,12.51831613,305.7692307692308
55,1770008242177009,2022-08-12,1.0,24.0,7950,994.0,"Finsensvej 15, 5. 505, 2000 Frederiksberg",2000,55.68076211,12.51831613,331.25
56,1770008246177009,2022-09-23,1.0,24.0,7900,988.0,"Finsensvej 15, 5. 506, 2000 Frederiksberg",2000,55.68076211,12.51831613,329.1666666666667
57,1770008248177009,2022-04-20,1.0,25.0,7900,948.0,"Finsensvej 15, 5. 507, 2000 Frederiksberg",2000,55.68076211,12.51831613,316.0
58,1770008251177009,2022-05-25,1.0,26.0,7900,912.0,"Finsensvej 15, 5. 508, 2000 Frederiksberg",2000,55.68076211,12.51831613,303.84615384615387
59,1770008252177009,2023-03-16,2.0,31.0,10900,1055.0,"Finsensvej 15, 5. 509, 2000 Frederiksberg",2000,55.68076211,12.51831613,351.61290322580646
60,1770008235177009,2022-06-02,1.0,25.0,7900,948.0,"Finsensvej 15, 5. 510, 2000 Frederiksberg",2000,55.68076211,12.51831613,316.0
61,1770008245177009,2022-04-20,1.0,26.0,7900,912.0,"Finsensvej 15, 5. 513, 2000 Frederiksberg",2000,55.68076211,12.51831613,303.84615384615387
62,1770008247177009,2022-04-20,1.0,25.0,7900,948.0,"Finsensvej 15, 5. 514, 2000 Frederiksberg",2000,55.68076211,12.51831613,316.0
63,1770008254177009,2023-03-16,1.0,38.0,11900,939.0,"Finsensvej 15, 5. 516, 2000 Frederiksberg",2000,55.68076211,12.51831613,313.1578947368421
64,1770008256177009,2022-04-26,1.0,30.0,8600,860.0,"Finsensvej 15, 5. 517, 2000 Frederiksberg",2000,55.68076211,12.51831613,286.6666666666667
65,1770008257177009,2022-05-31,2.0,30.0,10900,1090.0,"Finsensvej 15, 5. 518, 2000 Frederiksberg",2000,55.68076211,12.51831613,363.3333333333333
66,1770008232177009,2022-06-02,1.0,24.0,7950,994.0,"Finsensvej 15, 5. 519, 2000 Frederiksberg",2000,55.68076211,12.51831613,331.25
67,1770008258177009,2023-03-16,1.0,26.0,8650,998.0,"Finsensvej 15, 5. 525, 2000 Frederiksberg",2000,55.68076211,12.51831613,332.6923076923077
68,1770008260177009,2023-03-16,1.0,26.0,8650,998.0,"Finsensvej 15, 5. 526, 2000 Frederiksberg",2000,55.68076211,12.51831613,332.6923076923077
69,1770008371177009,2022-04-21,1.0,32.0,7400,694.0,"Gl. Køge Landevej 40, 3. 334, 2500 Valby",2500,55.65571596,12.51155621,231.25
70,1770008200177009,2022-04-29,2.0,58.0,11900,616.0,"Emma Gads Vej 1, 5. th, 2300 København S",2300,55.63563482,12.57837225,205.17241379310346
71,1770008086177009,2022-06-20,1.0,33.0,8450,512.0,"Dybbølsbro 3, 12. 9, 1577 København V",1577,55.66364863,12.56008874,256.06060606060606
72,1770008093177009,2022-05-19,1.0,33.0,8450,512.0,"Dybbølsbro 3, 11. 9, 1577 København V",1577,55.66362296,12.56013426,256.06060606060606
73,1770008117177009,2022-05-19,1.0,33.0,8450,512.0,"Dybbølsbro 3, 15. 2, 1577 København V",1577,55.66363152,12.56012288,256.06060606060606
74,1770007930177009,2022-09-08,1.0,33.0,8550,518.0,"Dybbølsbro 3, 7. 2, 1577 København V",1577,55.66371613,12.56013928,259.09090909090907
75,1770007948177009,2022-04-12,1.0,33.0,8550,536.0,"Dybbølsbro 3, 15. 9, 1577 København V",1577,55.65571596,12.51155621,259.09090909090907
76,1770008131177009,2022-05-03,1.0,33.0,8550,518.0,"Dybbølsbro 3, 19. 3, 1577 København V",1577,55.66365479,12.56018228,259.09090909090907
77,1770008017177009,2022-07-04,1.0,33.0,8650,524.0,"Dybbølsbro 3, 16. 8, 1577 København V",1577,55.6636358,12.5601684,262.1212121212121
78,1770008088177009,2022-05-30,1.0,33.0,8650,524.0,"Dybbølsbro 3, 18. 10, 1577 København V",1577,55.66365077,12.56012667,262.1212121212121
79,1770008091177009,2022-05-19,1.0,33.0,8750,530.0,"Dybbølsbro 3, 19. 11, 1577 København V",1577,55.66363794,12.56011529,265.1515151515151
80,1770008122177009,2022-05-30,1.0,33.0,8750,530.0,"Dybbølsbro 3, 8. 4, 1577 København V",1577,55.66364222,12.56009253,265.1515151515151
81,1770008124177009,2022-08-22,1.0,33.0,8750,530.0,"Dybbølsbro 3, 14. 10, 1577 København V",1577,55.66362938,12.56012667,265.1515151515151
82,1770007954177009,2022-07-04,1.0,33.0,8850,536.0,"Dybbølsbro 3, 21. 5, 1577 København V",1577,55.6636358,12.56008115,268.1818181818182
83,10-X00017743426001,2022-10-15,2.0,55.0,10500,573.0,"Else Alfelts Vej 37, 1. 3, 2300 København S",2300,55.62078032,12.56938804,190.9090909090909
84,10-X00018353426001,2022-06-01,3.0,90.0,14050,468.0,"Robert Jacobsens Vej 57, 8. 2, 2300 København S",2300,55.62007231,12.57357969,156.11111111111111
85,1770007964177009,2022-07-04,1.0,33.0,8850,536.0,"Dybbølsbro 3, 20. 5, 1577 København V",1577,55.66363366,12.56005081,268.1818181818182
86,1770008008177009,2022-05-03,1.0,33.0,8850,536.0,"Dybbølsbro 3, 11. 3, 1577 København V",1577,55.65571596,12.51155621,268.1818181818182
87,1770008133177009,2022-05-30,1.0,33.0,8850,536.0,"Dybbølsbro 3, 20. 4, 1577 København V",1577,55.66363794,12.56013426,268.1818181818182
88,1770008016177009,2022-10-27,1.0,33.0,8950,542.0,"Dybbølsbro 3, 23. 7, 1577 København V",1577,55.6636144,12.5601077,271.2121212121212
89,1770008081177009,2022-04-12,1.0,33.0,8950,542.0,"Dybbølsbro 3, 10. 7, 1577 København V",1577,55.66365479,12.56018228,271.2121212121212
90,1770008007177009,2022-08-15,1.0,33.0,9050,548.0,"Dybbølsbro 3, 9. 15, 1577 København V",1577,55.6636251,12.56009632,274.24242424242425
91,1770008009177009,2022-05-30,1.0,33.0,9050,548.0,"Dybbølsbro 3, 11. 11, 1577 København V",1577,55.66365291,12.56009632,274.24242424242425
92,1770008013177009,2022-04-12,1.0,33.0,9050,548.0,"Dybbølsbro 3, 18. 5, 1577 København V",1577,55.65571596,12.51155621,274.24242424242425
93,1770008094177009,2022-05-30,1.0,33.0,9050,548.0,"Dybbølsbro 3, 12. 11, 1577 København V",1577,55.66364008,12.56014943,274.24242424242425
94,1770008098177009,2022-07-04,1.0,33.0,9050,548.0,"Dybbølsbro 3, 23. 11, 1577 København V",1577,55.66364863,12.5601115,274.24242424242425
95,1770008100177009,2022-04-12,1.0,33.0,9050,548.0,"Dybbølsbro 3, 13. 10, 1577 København V",1577,55.66365479,12.56018228,274.24242424242425
96,1770008128177009,2022-05-30,1.0,33.0,9050,548.0,"Dybbølsbro 3, 17. 4, 1577 København V",1577,55.6636358,12.56009253,274.24242424242425
97,1770008135177009,2022-09-05,1.0,33.0,9050,548.0,"Dybbølsbro 3, 22. 4, 1577 København V",1577,55.66362724,12.5601115,274.24242424242425
98,1770008136177009,2022-08-18,1.0,33.0,9050,548.0,"Dybbølsbro 3, 23. 4, 1577 København V",1577,55.66364649,12.5601077,274.24242424242425
99,1770007959177009,2022-08-22,1.0,33.0,9150,555.0,"Dybbølsbro 3, 22. 9, 1577 København V",1577,55.66363942,12.5601035,277.27272727272725
100,1770007963177009,2022-08-22,1.0,33.0,9150,555.0,"Dybbølsbro 3, 20. 8, 1577 København V",1577,55.66363337,12.56011423,277.27272727272725
101,1770007931177009,2022-07-04,1.0,33.0,9250,561.0,"Dybbølsbro 3, 24. 11, 1577 København V",1577,55.66362429,12.56011959,280.3030303030303
102,1770008102177009,2022-04-12,1.0,33.0,9250,561.0,"Dybbølsbro 3, 13. 9, 1577 København V",1577,55.66365479,12.56018228,280.3030303030303
103,1770008127177009,2022-04-08,1.0,33.0,9250,561.0,"Dybbølsbro 3, 16. 11, 1577 København V",1577,55.66365479,12.56018228,280.3030303030303
104,1770007936177009,2022-04-12,1.0,33.0,9350,567.0,"Dybbølsbro 3, 22. 6, 1577 København V",1577,55.65571596,12.51155621,283.3333333333333
105,1770007947177009,2022-04-08,1.0,33.0,9350,567.0,"Dybbølsbro 3, 19. 10, 1577 København V",1577,55.65571596,12.51155621,283.3333333333333
106,1770008090177009,2022-04-12,1.0,33.0,9350,567.0,"Dybbølsbro 3, 22. 2, 1577 København V",1577,55.66365479,12.56018228,283.3333333333333
107,1770008096177009,2022-05-03,1.0,33.0,9350,567.0,"Dybbølsbro 3, 17. 8, 1577 København V",1577,55.66365479,12.56018228,283.3333333333333
108,1770007957177009,2022-04-12,1.0,33.0,9650,585.0,"Dybbølsbro 3, 18. 1, 1577 København V",1577,55.65571596,12.51155621,292.42424242424244
109,1770008084177009,2022-05-19,1.0,33.0,9750,591.0,"Dybbølsbro 3, 20. 11, 1577 København V",1577,55.66365455,12.56011423,295.45454545454544
110,1770008130177009,2022-04-12,1.0,33.0,9350,567.0,"Dybbølsbro 3, 18. 3, 1577 København V",1577,55.66365479,12.56018228,283.3333333333333
111,1770007926177009,2022-09-05,2.0,53.0,12750,481.0,"Dybbølsbro 3, 7. 1, 1577 København V",1577,55.66365455,12.56012495,240.56603773584905
112,1770007928177009,2022-09-05,1.0,33.0,10050,609.0,"Dybbølsbro 3, 24. 14, 1577 København V",1577,55.66363639,12.56009277,304.54545454545456
113,1770007935177009,2022-05-03,1.0,33.0,10150,615.0,"Dybbølsbro 3, 22. 14, 1577 København V",1577,55.65571596,12.51155621,307.57575757575756
114,1770007939177009,2022-04-08,2.0,53.0,12550,474.0,"Dybbølsbro 3, 9. 1, 1577 København V",1577,55.65571596,12.51155621,236.79245283018867
115,1770007962177009,2022-08-22,1.0,33.0,9850,597.0,"Dybbølsbro 3, 24. 15, 1577 København V",1577,55.66364244,12.5601035,298.4848484848485
116,1770008015177009,2022-04-12,1.0,33.0,9850,597.0,"Dybbølsbro 3, 21. 12, 1577 København V",1577,55.65571596,12.51155621,298.4848484848485
117,1770008132177009,2022-08-22,1.0,33.0,9350,567.0,"Dybbølsbro 3, 19. 15, 1577 København V",1577,55.66364547,12.56012495,283.3333333333333
118,1770008134177009,2022-05-19,1.0,33.0,9650,585.0,"Dybbølsbro 3, 21. 7, 1577 København V",1577,55.66365455,12.56009277,292.42424242424244
119,1770008083177009,2022-05-19,1.0,33.0,9850,597.0,"Dybbølsbro 3, 20. 10, 1577 København V",1577,55.66365152,12.56014105,298.4848484848485
120,1770008099177009,2022-04-12,1.0,33.0,9750,591.0,"Dybbølsbro 3, 22. 11, 1577 København V",1577,55.66365479,12.56018228,295.45454545454544
121,1770008123177009,2022-04-28,2.0,53.0,13000,491.0,"Dybbølsbro 3, 12. 15, 1577 København V",1577,55.66365479,12.56018228,245.28301886792454
122,1770007978177009,2022-08-22,2.0,53.0,14600,551.0,"Dybbølsbro 3, 24. 1, 1577 København V",1577,55.66364547,12.56010886,275.47169811320754
123,10-X00016993426001,2022-10-15,3.0,89.0,12400,418.0,"Richard Mortensens Vej 40, 3. 1, 2300 København S",2300,55.62070049,12.57084377,139.32584269662922
124,10-X00017323426001,2022-10-15,3.0,81.0,12500,463.0,"Else Alfelts Vej 37, 3. 2, 2300 København S",2300,55.62078032,12.56938804,154.320987654321
125,10-X00017933426001,2022-10-15,2.0,54.0,10200,567.0,"Richard Mortensens Vej 42, 1. 2, 2300 København S",2300,55.62057061,12.57080827,188.88888888888889
126,1770008382177009,2022-05-19,1.0,35.0,7400,629.0,"Ved Amagerbanen 31A, st. 4, 2300 København S",2300,55.66603984,12.62730781,211.42857142857142
127,1770007991177009,2022-04-08,1.0,29.0,7500,776.0,"Poul Bundgaards Vej 5, 2. 60, 2500 Valby",2500,55.65926836,12.51011501,258.62068965517244
128,1770008384177009,2022-05-19,1.0,47.0,8000,511.0,"Ved Amagerbanen 31A, 1. 1, 2300 København S",2300,55.66603984,12.62730781,170.2127659574468
129,1770008387177009,2022-04-25,1.0,45.0,7900,527.0,"Ved Amagerbanen 31A, 2. 3, 2300 København S",2300,55.66603984,12.62730781,175.55555555555554
130,1770008388177009,2022-04-25,1.0,35.0,7400,634.0,"Ved Amagerbanen 31B, 2. 2, 2300 København S",2300,55.66603984,12.62730781,211.42857142857142
131,1770008389177009,2022-05-19,3.0,86.0,13600,474.0,"Ved Amagerbanen 31C, 2. 1, 2300 København S",2300,55.66603984,12.62730781,158.13953488372093
132,1770008394177009,2022-04-27,4.0,117.0,16000,410.0,"Margretheholmsvej 64, 3., 1432 København K",1432,55.68610553,12.61582379,136.75213675213675
133,1770008381177009,2022-05-19,2.0,53.0,11200,634.0,"Ved Amagerbanen 31B, 4. 3, 2300 København S",2300,55.66603984,12.62730781,211.32075471698113
134,1770008054177009,2022-04-11,1.0,25.0,7600,912.0,"Finsensvej 15, 4. 425, 2000 Frederiksberg",2000,55.68076211,12.51831613,304.0
135,1770008056177009,2023-01-23,2.0,32.0,10300,966.0,"Finsensvej 15, 3. 319, 2000 Frederiksberg",2000,55.68076211,12.51831613,321.875
136,1770008234177009,2022-04-11,1.0,29.0,7950,822.0,"Finsensvej 15, 5. 520, 2000 Frederiksberg",2000,55.68076211,12.51831613,274.13793103448273
137,1770008204177009,2022-04-11,1.0,26.0,7650,883.0,"Finsensvej 15, 4. 406, 2000 Frederiksberg",2000,55.68076211,12.51831613,294.2307692307692
138,1770007641177009,2022-09-07,1.0,25.0,7550,906.0,"Finsensvej 15, 3. 336, 2000 Frederiksberg",2000,55.68076211,12.51831613,302.0
139,1770007932177009,2022-09-05,1.0,33.0,8050,488.0,"Dybbølsbro 3, 7. 3, 1577 København V",1577,55.65571596,12.51155621,243.93939393939394
140,1770008082177009,2022-05-30,1.0,33.0,8450,512.0,"Dybbølsbro 3, 10. 8, 1577 København V",1577,55.66363366,12.56010391,256.06060606060606
141,1770008225177009,2022-04-25,1.0,35.0,7500,643.0,"Poppelstykket 6, 1. 116, 2450 København SV",2450,55.6512869,12.51149568,214.28571428571428
142,1770008010177009,2023-02-28,1.0,33.0,8150,494.0,"Dybbølsbro 3, 12. 5, 1577 København V",1577,55.65571596,12.51155621,246.96969696969697
143,1770008021177009,2022-05-30,1.0,33.0,8450,512.0,"Dybbølsbro 3, 14. 2, 1577 København V",1577,55.66364008,12.56013046,256.06060606060606
144,1770008095177009,2023-02-28,1.0,33.0,8350,506.0,"Dybbølsbro 3, 14. 7, 1577 København V",1577,55.66365479,12.56018228,253.03030303030303
145,1770008023177009,2022-05-03,1.0,33.0,8450,512.0,"Dybbølsbro 3, 14. 11, 1577 København V",1577,55.65571596,12.51155621,256.06060606060606
146,1770008410177009,2022-05-19,3.0,83.0,13000,470.0,"Ved Amagerbanen 31E, 1. 1, 2300 København S",2300,55.66603984,12.62730781,156.6265060240964
147,1770008412177009,2022-04-13,1.0,29.0,7400,766.0,"Gl. Køge Landevej 40, 3. 304, 2500 Valby",2500,55.65571596,12.51155621,255.17241379310346
148,1770008411177009,2022-04-25,1.0,35.0,7500,643.0,"Ved Amagerbanen 31B, 3. 2, 2300 København S",2300,55.66603984,12.62730781,214.28571428571428
149,1770008414177009,2022-07-13,1.0,31.0,7500,726.0,"Gl. Køge Landevej 40, 4. 437, 2500 Valby",2500,55.65571596,12.51155621,241.93548387096774
150,1770008415177009,2022-07-13,1.0,34.0,7200,635.0,"Gl. Køge Landevej 40, 4. 440, 2500 Valby",2500,55.65571596,12.51155621,211.76470588235293
151,1770008413177009,2022-04-25,2.0,53.0,11200,634.0,"Ved Amagerbanen 31A, 3. 3, 2300 København S",2300,55.66603984,12.62730781,211.32075471698113
152,1770008419177009,2022-04-25,1.0,35.0,7500,643.0,"Ved Amagerbanen 31A, 4. 2, 2300 København S",2300,55.66603984,12.62730781,214.28571428571428
153,1770008417177009,2022-07-07,1.0,29.0,7000,724.0,"Gl. Køge Landevej 40, 1. 113, 2500 Valby",2500,55.65571596,12.51155621,241.3793103448276
154,1770008421177009,2022-07-13,1.0,31.0,6800,658.0,"Poul Reichardts Vej 2A, st. 3, 2500 Valby",2500,55.65571596,12.51155621,219.3548387096774
155,1770008423177009,2022-04-12,1.0,32.0,7300,684.0,"Gl. Køge Landevej 40, 1. 218, 2500 Valby",2500,55.65571596,12.51155621,228.125
