,rooms,area,rent,street,zip_code,latitude,longitude,rent_norm
5231666,1,15,3900,Bjergvænget                   ,2400,55.715922         ,12.5354978,260.0
5179639,1,40,8200,Peder Lykkes Vej              ,2300,55.65372190000001 ,12.6031793,205.0
5231636,2,50,9000,Tudskærvej                    ,2720,55.6910911        ,12.4690772,180.0
5217949,3,94,14850,Axel Heides Gade              ,2300,55.659896         ,12.57005,157.9787234042553
5143983,3,102,14035,Falkevej                      ,2400,55.69874799999998 ,12.53532,137.59803921568627
5127687,4,96,13000,Hannemanns Allé               ,2300,55.626185         ,12.5762249,135.41666666666666
5234828,3,73,11000,Enghavevej                    ,1674,55.6634654        ,12.5422596,150.68493150684932
5241371,2,53,12100,Ejler Billes Allé             ,2300,55.6220819        ,12.5737359,228.30188679245282
5158560,3,84,12950,Dieselvej                     ,2450,55.6513877        ,12.5554596,154.16666666666666
4572076,2,52,7354,Aggersvoldvej                 ,2700,55.6959589        ,12.5002814,141.42307692307693
5238607,1,50,8995,Hellerupvej                   ,2900,55.7328086        ,12.565759,179.9
5187916,2,81,12870,Islands Brygge                ,2300,55.6618119        ,12.5696679,158.88888888888889
5211868,1,32,6150,Gyngemose Parkvej             ,2860,55.7272197        ,12.4792895,192.1875
3728881,2,62,12500,Nygårdsvej                    ,2100,55.71203          ,12.5714277,201.61290322580646
5241268,3,80,13600,Bryrupvej                     ,2770,55.60972700000001 ,12.583102,170.0
5238607,1,50,8995,Hellerupvej                   ,2900,55.7328086        ,12.565759,179.9
5180420,4,87,11900,Gyngemose Parkvej             ,2860,55.72670060000001 ,12.4797398,136.7816091954023
5194789,3,52,12395,Faste Batteri Vej             ,2300,55.66450469999998 ,12.5912948,238.3653846153846
5230522,1,12,3900,Vermundsgade                  ,2100,55.7060314        ,12.552815,325.0
5241622,1,28,7850,Finsensvej                    ,2000,55.68118870000001 ,12.5186236,280.35714285714283
5241305,3,67,12900,Gertrude Steins Vej           ,2300,55.6396737        ,12.582732,192.53731343283582
5239432,2,60,11700,Emma Gads Vej                 ,2300,55.6349421        ,12.579119,195.0
5241478,4,110,17900,Strandlodsvej                 ,2300,55.6646124        ,12.6227027,162.72727272727272
5224887,3,146,26000,Baldrianvej                   ,2900,55.7372863        ,12.5382676,178.08219178082192
5127686,3,93,12382,Hannemanns Allé               ,2300,55.626185         ,12.5762249,133.13978494623655
5241631,1,35,6800,Kobbelvænget                  ,2700,55.7112967        ,12.4806054,194.28571428571428
5237968,4,87,11900,Gyngemose Parkvej             ,2860,55.72670060000001 ,12.4797398,136.7816091954023
5241260,1,45,8300,Kobbelvænget                  ,2700,55.7112967        ,12.4806054,184.44444444444446
