,id,rooms,area,rent,latitude,longitude,rent_norm
127,5273993,2,51,10200,55.71046,12.484442,200.0
128,5242841,2,71,11950,55.682748,12.455784,168.30985915492957
129,5144890,4,108,18000,55.678251,12.57365,166.66666666666666
130,5011142,1,35,7450,55.667515,12.621765,212.85714285714286
131,5179167,4,107,14875,55.653859,12.503733,139.01869158878506
132,5263632,2,61,11500,55.634942,12.579119,188.52459016393442
133,5206496,1,55,8800,55.649554,12.551497,160.0
134,5185287,4,100,13800,55.626185,12.576225,138.0
135,5248806,4,164,21520,55.699561,12.577984,131.21951219512195
136,5080325,5,131,18400,55.644377,12.548894,140.45801526717557
137,5241118,5,152,27500,55.688113,12.515788,180.92105263157896
138,5215431,6,291,68000,55.725369,12.572961,233.67697594501718
139,5254791,3,87,13760,55.706205,12.53494,158.16091954022988
140,5113676,1,8,4500,55.692314,12.54421,562.5
141,5247695,4,95,16016,55.664493,12.591439,168.58947368421053
142,5274015,2,48,10200,55.71046,12.484442,212.5
143,5054949,1,35,8618,55.679425,12.551437,246.22857142857143
144,5248133,1,43,6629,55.652406,12.5122,154.1627906976744
145,4921301,1,20,6000,55.695502,12.54533,300.0
146,5248781,3,78,16750,55.665578,12.533916,214.74358974358975
147,5200807,1,12,5500,55.701622,12.575685,458.3333333333333
148,5266835,3,76,15400,55.707014,12.573501,202.6315789473684
149,5064407,3,108,14883,55.678166,12.493615,137.80555555555554
150,5266715,2,81,14085,55.68704,12.548191,173.88888888888889
151,5248168,4,122,23000,55.636811,12.606093,188.52459016393442
152,5185286,5,110,19995,55.69877,12.535178,181.77272727272728
153,5261950,4,122,21000,55.687566,12.562154,172.13114754098362
154,5249722,1,20,3000,55.717262,12.485402,150.0
155,5213502,2,58,11100,55.634968,12.580811,191.3793103448276
156,4944336,7,291,25500,55.672031,12.576112,87.62886597938144
157,5249747,1,12,3900,55.706031,12.552815,325.0
158,5246107,1,35,6650,55.695462,12.524558,190.0
159,5086675,2,56,10475,55.636709,12.582897,187.05357142857142
160,5239422,2,59,11700,55.638214,12.58092,198.3050847457627
161,5217944,3,92,14700,55.654295,12.568211,159.7826086956522
162,5270233,1,33,7950,55.679639,12.548044,240.9090909090909
163,5166742,3,105,15000,55.65878,12.562653,142.85714285714286
164,5270981,2,67,11630,55.660841,12.50309,173.5820895522388
165,5211309,3,83,14248,55.664493,12.591439,171.66265060240963
166,5158075,3,95,17950,55.658832,12.633643,188.94736842105263
167,4883005,3,111,17000,55.683567,12.581772,153.15315315315314
168,4856797,6,231,31762,55.684228,12.572508,137.4978354978355
169,5252438,3,81,13225,55.656761,12.503792,163.2716049382716
170,5262324,1,31,10500,55.686301,12.589569,338.7096774193548
171,5241114,4,131,18500,55.733686,12.564141,141.22137404580153
172,5263645,4,166,27283,55.732739,12.561723,164.35542168674698
